company_id,flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,scheduled_departure_datetime_local,scheduled_arrival_datetime_local,actual_departure_datetime_local,actual_arrival_datetime_local,total_seats,fleet_type,carrier,scheduled_ground_time_minutes,actual_ground_time_minutes,minimum_turn_minutes,total_pax,lap_child_count,is_child_count,is_stroller_user_count,basic_economy_pax,ssr_count,Hot Transfer,Checked,Transfer,departure_delay,ground_time_deficit,load_factor,ssr_per_pax,child_ratio,basic_economy_ratio,total_bags,bags_per_pax,iso_country_code,is_international
UA,307,2025-08-14,ORD,COS,2025-08-14 09:15:00+00:00,2025-08-14T11:08:00Z,2025-08-14 09:11:00+00:00,2025-08-14T10:44:00Z,179,B737-MAX9,Mainline,94,85,56,147,2,7,3,22,4.0,6.0,55.0,24.0,-4.0,38,0.8212290502793296,0.027210884353741496,0.061224489795918366,0.14965986394557823,79.0,0.5374149659863946,US,0
UA,1538,2025-08-08,ORD,SAV,2025-08-08 11:05:00+00:00,2025-08-08T14:34:00Z,2025-08-08 10:59:00+00:00,2025-08-08T14:11:00Z,126,B737-700,Mainline,100,108,43,188,3,13,5,2,7.0,0.0,69.0,18.0,-6.0,57,1.492063492063492,0.03723404255319149,0.0851063829787234,0.010638297872340425,87.0,0.4627659574468085,US,0
UA,1006,2025-08-02,ORD,LGA,2025-08-02 18:00:00+00:00,2025-08-02T21:20:00Z,2025-08-02 19:00:00+00:00,2025-08-02T22:10:00Z,166,B737-800,Mainline,63,55,51,199,0,11,1,26,16.0,4.0,37.0,32.0,60.0,12,1.1987951807228916,0.08040201005025126,0.05527638190954774,0.1306532663316583,69.0,0.34673366834170855,US,0
G7,4395,2025-08-14,ORD,TVC,2025-08-14 18:15:00+00:00,2025-08-14T20:38:00Z,2025-08-14 19:41:00+00:00,2025-08-14T21:46:00Z,50,CRJ-550,Express,132,124,29,51,1,1,0,1,8.0,3.0,3.0,31.0,86.0,103,1.02,0.1568627450980392,0.0392156862745098,0.0196078431372549,34.0,0.6666666666666666,US,0
UA,1538,2025-08-06,ORD,SAV,2025-08-06 11:05:00+00:00,2025-08-06T14:34:00Z,2025-08-06 10:57:00+00:00,2025-08-06T14:09:00Z,126,B737-700,Mainline,95,81,43,116,0,3,0,10,9.0,0.0,38.0,31.0,-8.0,52,0.9206349206349206,0.07758620689655173,0.02586206896551724,0.08620689655172414,69.0,0.5948275862068966,US,0
UA,2138,2025-08-08,ORD,LGA,2025-08-08 14:05:00+00:00,2025-08-08T17:27:00Z,2025-08-08 14:01:00+00:00,2025-08-08T17:13:00Z,166,B737-800,Mainline,62,87,51,167,0,3,0,32,2.0,21.0,32.0,20.0,-4.0,11,1.0060240963855422,0.011976047904191617,0.017964071856287425,0.19161676646706588,52.0,0.31137724550898205,US,0
G7,4481,2025-08-15,ORD,GRR,2025-08-15 07:00:00+00:00,2025-08-15T09:07:00Z,2025-08-15 06:56:00+00:00,2025-08-15T09:01:00Z,50,CRJ-550,Express,644,632,29,41,0,0,0,7,0.0,9.0,0.0,28.0,-4.0,615,0.82,0.0,0.0,0.17073170731707318,28.0,0.6829268292682927,US,0
OO,5108,2025-08-14,ORD,SLN,2025-08-14 16:45:00+00:00,2025-08-14T18:50:00Z,2025-08-14 16:39:00+00:00,2025-08-14T18:33:00Z,50,CRJ-200,Express,85,82,29,47,0,2,0,2,5.0,3.0,23.0,15.0,-6.0,56,0.94,0.10638297872340426,0.0425531914893617,0.0425531914893617,38.0,0.8085106382978723,US,0
YX,3568,2025-08-15,ORD,YYZ,2025-08-15 10:50:00+00:00,2025-08-15T13:42:00Z,2025-08-15 10:48:00+00:00,2025-08-15T13:40:00Z,76,ERJ-175,Express,75,64,42,83,1,1,0,5,2.0,4.0,27.0,15.0,-2.0,33,1.0921052631578947,0.024096385542168676,0.024096385542168676,0.060240963855421686,42.0,0.5060240963855421,CA,1
OO,4739,2025-08-03,ORD,GRB,2025-08-03 15:35:00+00:00,2025-08-03T16:48:00Z,2025-08-03 15:34:00+00:00,2025-08-03T16:40:00Z,50,CRJ-200,Express,69,63,29,61,1,3,1,6,1.0,9.0,17.0,26.0,-1.0,40,1.22,0.01639344262295082,0.06557377049180328,0.09836065573770492,43.0,0.7049180327868853,US,0
UA,664,2025-08-02,ORD,LGA,2025-08-02 16:00:00+00:00,2025-08-02T19:20:00Z,2025-08-02 16:01:00+00:00,2025-08-02T19:10:00Z,166,B737-800,Mainline,400,59,51,198,1,11,3,34,11.0,0.0,65.0,29.0,1.0,349,1.1927710843373494,0.05555555555555555,0.06060606060606061,0.1717171717171717,94.0,0.47474747474747475,US,0
OO,5517,2025-08-04,ORD,PVD,2025-08-04 18:15:00+00:00,2025-08-04T21:54:00Z,2025-08-04 18:14:00+00:00,2025-08-04T21:40:00Z,76,ERJ-175,Express,87,86,34,78,0,2,2,0,8.0,1.0,13.0,31.0,-1.0,53,1.0263157894736843,0.10256410256410256,0.02564102564102564,0.0,44.0,0.5641025641025641,US,0
UA,1156,2025-08-08,ORD,MSY,2025-08-08 19:55:00+00:00,2025-08-08T22:25:00Z,2025-08-08 20:14:00+00:00,2025-08-08T22:35:00Z,179,B737-900,Mainline,62,61,56,215,2,12,4,37,6.0,7.0,43.0,71.0,19.0,6,1.2011173184357542,0.027906976744186046,0.06511627906976744,0.17209302325581396,114.0,0.5302325581395348,US,0
G7,4387,2025-08-06,ORD,CID,2025-08-06 09:20:00+00:00,2025-08-06T10:40:00Z,2025-08-06 09:05:00+00:00,2025-08-06T10:30:00Z,50,CRJ-550,Express,75,73,29,67,0,4,1,0,0.0,0.0,4.0,38.0,-15.0,46,1.34,0.0,0.05970149253731343,0.0,42.0,0.6268656716417911,US,0
UA,1361,2025-08-11,ORD,STL,2025-08-11 21:20:00+00:00,2025-08-11T22:45:00Z,2025-08-11 21:40:00+00:00,2025-08-11T23:34:00Z,126,A319-100,Mainline,60,52,43,137,0,6,0,13,10.0,23.0,4.0,71.0,20.0,17,1.0873015873015872,0.072992700729927,0.043795620437956206,0.0948905109489051,75.0,0.5474452554744526,US,0
UA,2323,2025-08-03,ORD,MCO,2025-08-03 09:15:00+00:00,2025-08-03T13:10:00Z,2025-08-03 09:09:00+00:00,2025-08-03T12:48:00Z,200,A321-2NX,Mainline,97,99,62,297,2,24,5,14,4.0,0.0,144.0,27.0,-6.0,35,1.485,0.013468013468013467,0.08754208754208755,0.04713804713804714,171.0,0.5757575757575758,US,0
OO,5229,2025-08-13,ORD,ILM,2025-08-13 11:59:00+00:00,2025-08-13T15:24:00Z,2025-08-13 11:54:00+00:00,2025-08-13T14:59:00Z,76,ERJ-175,Express,47,39,34,62,0,2,1,7,0.0,1.0,12.0,10.0,-5.0,13,0.8157894736842105,0.0,0.03225806451612903,0.11290322580645161,22.0,0.3548387096774194,US,0
YX,3700,2025-08-02,ORD,BNA,2025-08-02 07:25:00+00:00,2025-08-02T09:13:00Z,2025-08-02 07:40:00+00:00,2025-08-02T09:15:00Z,76,ERJ-175,Express,5,33,34,80,0,1,0,13,4.0,3.0,21.0,26.0,15.0,-29,1.0526315789473684,0.05,0.0125,0.1625,47.0,0.5875,US,0
G7,4610,2025-08-15,ORD,XNA,2025-08-15 12:41:00+00:00,2025-08-15T14:35:00Z,2025-08-15 12:38:00+00:00,2025-08-15T14:28:00Z,50,CRJ-550,Express,59,71,29,52,0,2,0,2,0.0,6.0,5.0,17.0,-3.0,30,1.04,0.0,0.038461538461538464,0.038461538461538464,22.0,0.4230769230769231,US,0
UA,1414,2025-08-13,ORD,BOI,2025-08-13 08:45:00+00:00,2025-08-13T11:43:00Z,2025-08-13 08:40:00+00:00,2025-08-13T11:09:00Z,150,A320-200,Mainline,59,78,46,158,0,8,5,12,12.0,22.0,29.0,41.0,-5.0,13,1.0533333333333332,0.0759493670886076,0.05063291139240506,0.0759493670886076,70.0,0.4430379746835443,US,0
UA,1156,2025-08-13,ORD,MSY,2025-08-13 19:55:00+00:00,2025-08-13T22:25:00Z,2025-08-13 19:56:00+00:00,2025-08-13T22:17:00Z,179,B737-MAX9,Mainline,73,62,56,72,0,2,1,9,5.0,6.0,20.0,22.0,1.0,17,0.4022346368715084,0.06944444444444445,0.027777777777777776,0.125,42.0,0.5833333333333334,US,0
UA,247,2025-08-13,ORD,OMA,2025-08-13 12:45:00+00:00,2025-08-13T14:22:00Z,2025-08-13 12:38:00+00:00,2025-08-13T14:07:00Z,150,A320-200,Mainline,69,86,46,114,0,5,0,5,1.0,17.0,10.0,34.0,-7.0,23,0.76,0.008771929824561403,0.043859649122807015,0.043859649122807015,44.0,0.38596491228070173,US,0
UA,2378,2025-08-08,ORD,LAX,2025-08-08 21:42:00+00:00,2025-08-09T00:15:00Z,2025-08-08 21:50:00+00:00,2025-08-08T23:59:00Z,200,A321-2NX,Mainline,77,94,62,238,1,15,5,17,9.0,0.0,50.0,106.0,8.0,15,1.19,0.037815126050420166,0.06722689075630252,0.07142857142857142,156.0,0.6554621848739496,US,0
OO,5930,2025-08-14,ORD,FAR,2025-08-14 13:20:00+00:00,2025-08-14T15:29:00Z,2025-08-14 15:00:00+00:00,2025-08-14T16:49:00Z,50,CRJ-200,Express,205,91,29,53,2,1,0,6,29.0,1.0,25.0,21.0,100.0,176,1.06,0.5471698113207547,0.05660377358490566,0.11320754716981132,46.0,0.8679245283018868,US,0
YX,3628,2025-08-11,ORD,IND,2025-08-11 17:50:00+00:00,2025-08-11T20:03:00Z,2025-08-11 17:45:00+00:00,2025-08-11T19:54:00Z,76,ERJ-175,Express,45,38,34,76,0,0,0,5,14.0,14.0,30.0,21.0,-5.0,11,1.0,0.18421052631578946,0.0,0.06578947368421052,51.0,0.6710526315789473,US,0
OO,5564,2025-08-01,ORD,SBN,2025-08-01 14:20:00+00:00,2025-08-01T16:18:00Z,2025-08-01 14:29:00+00:00,2025-08-01T16:29:00Z,50,CRJ-550,Express,57,87,29,55,1,1,1,3,0.0,2.0,1.0,33.0,9.0,28,1.1,0.0,0.03636363636363636,0.05454545454545454,34.0,0.6181818181818182,US,0
UA,2361,2025-08-13,ORD,LAX,2025-08-13 07:10:00+00:00,2025-08-13T09:40:00Z,2025-08-13 07:07:00+00:00,2025-08-13T09:15:00Z,234,B757-300,Mainline,662,498,66,143,0,5,1,7,0.0,17.0,55.0,30.0,-3.0,596,0.6111111111111112,0.0,0.03496503496503497,0.04895104895104895,85.0,0.5944055944055944,US,0
YX,3520,2025-08-05,ORD,CVG,2025-08-05 21:16:00+00:00,2025-08-05T23:46:00Z,2025-08-05 21:16:00+00:00,2025-08-05T23:30:00Z,76,ERJ-175,Express,162,166,34,71,2,4,1,10,6.0,16.0,3.0,12.0,0.0,128,0.9342105263157895,0.08450704225352113,0.08450704225352113,0.14084507042253522,15.0,0.2112676056338028,US,0
G7,4546,2025-08-06,ORD,AVP,2025-08-06 18:35:00+00:00,2025-08-06T21:43:00Z,2025-08-06 19:14:00+00:00,2025-08-06T22:06:00Z,50,CRJ-550,Express,-5,23,29,46,0,0,0,2,8.0,0.0,8.0,20.0,39.0,-34,0.92,0.17391304347826086,0.0,0.043478260869565216,28.0,0.6086956521739131,US,0
OO,5362,2025-08-14,ORD,MKE,2025-08-14 21:40:00+00:00,2025-08-14T22:45:00Z,2025-08-14 21:35:00+00:00,2025-08-14T22:20:00Z,50,CRJ-200,Express,90,66,29,60,0,3,1,5,14.0,0.0,17.0,38.0,-5.0,61,1.2,0.23333333333333334,0.05,0.08333333333333333,55.0,0.9166666666666666,US,0
OO,5251,2025-08-03,ORD,ASE,2025-08-03 19:35:00+00:00,2025-08-03T21:44:00Z,2025-08-03 19:43:00+00:00,2025-08-03T22:00:00Z,70,ERJ-175,Express,68,91,34,73,0,4,1,8,5.0,13.0,30.0,15.0,8.0,34,1.042857142857143,0.0684931506849315,0.0547945205479452,0.1095890410958904,45.0,0.6164383561643836,US,0
G7,4429,2025-08-07,ORD,FSD,2025-08-07 15:52:00+00:00,2025-08-07T17:44:00Z,2025-08-07 15:51:00+00:00,2025-08-07T17:36:00Z,50,CRJ-550,Express,57,78,29,50,0,1,0,0,7.0,3.0,3.0,18.0,-1.0,28,1.0,0.14,0.02,0.0,21.0,0.42,US,0
UA,1899,2025-08-01,ORD,YYC,2025-08-01 20:05:00+00:00,2025-08-01T22:53:00Z,2025-08-01 21:19:00+00:00,2025-08-01T23:47:00Z,126,A319-100,Mainline,70,102,52,178,0,13,4,14,12.0,2.0,51.0,36.0,74.0,18,1.4126984126984128,0.06741573033707865,0.07303370786516854,0.07865168539325842,87.0,0.4887640449438202,CA,1
UA,2137,2025-08-03,ORD,SLC,2025-08-03 09:02:00+00:00,2025-08-03T11:40:00Z,2025-08-03 09:00:00+00:00,2025-08-03T11:40:00Z,166,B737-800,Mainline,68,76,51,180,1,9,4,16,7.0,12.0,31.0,46.0,-2.0,17,1.0843373493975903,0.03888888888888889,0.05555555555555555,0.08888888888888889,77.0,0.42777777777777776,US,0
UA,1576,2025-08-10,ORD,LGA,2025-08-10 20:00:00+00:00,2025-08-10T23:22:00Z,2025-08-10 20:00:00+00:00,2025-08-10T23:34:00Z,166,B737-800,Mainline,80,73,51,170,0,2,0,34,4.0,0.0,37.0,13.0,0.0,29,1.0240963855421688,0.023529411764705882,0.011764705882352941,0.2,50.0,0.29411764705882354,US,0
UA,2004,2025-08-11,ORD,SYR,2025-08-11 13:45:00+00:00,2025-08-11T16:44:00Z,2025-08-11 13:53:00+00:00,2025-08-11T16:39:00Z,150,A320-200,Mainline,84,102,46,171,3,7,3,11,16.0,18.0,19.0,64.0,8.0,38,1.14,0.0935672514619883,0.05847953216374269,0.06432748538011696,83.0,0.4853801169590643,US,0
UA,343,2025-08-02,ORD,SFO,2025-08-02 10:53:00+00:00,2025-08-02T13:40:00Z,2025-08-02 10:52:00+00:00,2025-08-02T13:23:00Z,200,A321-2NX,Mainline,1079,1115,62,274,1,22,4,14,4.0,0.0,94.0,34.0,-1.0,1017,1.37,0.014598540145985401,0.08394160583941605,0.051094890510948905,128.0,0.46715328467153283,US,0
UA,2370,2025-08-11,ORD,BOS,2025-08-11 14:28:00+00:00,2025-08-11T18:06:00Z,2025-08-11 14:28:00+00:00,2025-08-11T18:06:00Z,179,B737-900,Mainline,79,69,56,201,1,5,2,10,15.0,1.0,75.0,56.0,0.0,23,1.1229050279329609,0.07462686567164178,0.029850746268656716,0.04975124378109453,131.0,0.6517412935323383,US,0
UA,2189,2025-08-01,ORD,LGA,2025-08-01 13:00:00+00:00,2025-08-01T16:20:00Z,2025-08-01 12:56:00+00:00,2025-08-01T15:56:00Z,166,B737-MAX8,Mainline,96,94,60,186,1,6,1,30,2.0,2.0,56.0,5.0,-4.0,36,1.1204819277108433,0.010752688172043012,0.03763440860215054,0.16129032258064516,61.0,0.3279569892473118,US,0
UA,481,2025-08-12,ORD,RNO,2025-08-12 19:52:00+00:00,2025-08-12T22:19:00Z,2025-08-12 22:01:00+00:00,2025-08-13T00:27:00Z,126,B737-700,Mainline,95,51,43,77,0,3,0,10,5.0,1.0,23.0,49.0,129.0,52,0.6111111111111112,0.06493506493506493,0.03896103896103896,0.12987012987012986,72.0,0.935064935064935,US,0
UA,1209,2025-08-15,ORD,EWR,2025-08-15 21:25:00+00:00,2025-08-16T00:46:00Z,2025-08-15 21:30:00+00:00,2025-08-16T00:46:00Z,179,B737-900,Mainline,67,55,56,218,1,13,5,58,7.0,19.0,51.0,52.0,5.0,11,1.217877094972067,0.03211009174311927,0.06422018348623854,0.26605504587155965,103.0,0.4724770642201835,US,0
UA,2177,2025-08-15,ORD,MSN,2025-08-15 14:00:00+00:00,2025-08-15T15:03:00Z,2025-08-15 14:30:00+00:00,2025-08-15T15:36:00Z,126,A319-100,Mainline,9,42,43,138,2,4,1,5,14.0,21.0,0.0,65.0,30.0,-34,1.0952380952380953,0.10144927536231885,0.043478260869565216,0.036231884057971016,65.0,0.47101449275362317,US,0
UA,909,2025-08-13,ORD,AMS,2025-08-13 18:15:00+00:00,2025-08-14T09:20:00Z,2025-08-13 18:49:00+00:00,2025-08-14T09:24:00Z,243,B787-8,Mainline,280,319,95,262,1,6,0,0,24.0,0.0,97.0,123.0,34.0,185,1.0781893004115226,0.0916030534351145,0.026717557251908396,0.0,220.0,0.8396946564885496,NL,1
UA,1584,2025-08-05,ORD,LAX,2025-08-05 10:50:00+00:00,2025-08-05T13:23:00Z,2025-08-05 10:50:00+00:00,2025-08-05T13:03:00Z,200,A321-2NX,Mainline,711,739,62,265,5,19,4,28,1.0,0.0,146.0,13.0,0.0,649,1.325,0.0037735849056603774,0.09056603773584905,0.10566037735849057,159.0,0.6,US,0
YX,3690,2025-08-13,ORD,IND,2025-08-13 15:40:00+00:00,2025-08-13T17:53:00Z,2025-08-13 15:31:00+00:00,2025-08-13T17:36:00Z,76,ERJ-175,Express,57,45,34,68,1,0,0,1,0.0,5.0,13.0,34.0,-9.0,23,0.8947368421052632,0.0,0.014705882352941176,0.014705882352941176,47.0,0.6911764705882353,US,0
YX,3542,2025-08-15,ORD,YUL,2025-08-15 17:58:00+00:00,2025-08-15T21:29:00Z,2025-08-15 17:53:00+00:00,2025-08-15T21:27:00Z,76,ERJ-175,Express,53,71,42,83,1,2,1,4,2.0,2.0,22.0,32.0,-5.0,11,1.0921052631578947,0.024096385542168676,0.03614457831325301,0.04819277108433735,54.0,0.6506024096385542,CA,1
OO,4791,2025-08-14,ORD,SBN,2025-08-14 10:35:00+00:00,2025-08-14T12:33:00Z,2025-08-14 10:27:00+00:00,2025-08-14T12:20:00Z,50,CRJ-550,Express,56,32,29,59,0,3,2,2,6.0,13.0,1.0,12.0,-8.0,27,1.18,0.1016949152542373,0.05084745762711865,0.03389830508474576,13.0,0.22033898305084745,US,0
UA,2011,2025-08-11,ORD,YVR,2025-08-11 08:48:00+00:00,2025-08-11T11:33:00Z,2025-08-11 09:00:00+00:00,2025-08-11T11:29:00Z,150,A320-200,Mainline,67,103,60,162,0,5,0,3,4.0,16.0,53.0,68.0,12.0,7,1.08,0.024691358024691357,0.030864197530864196,0.018518518518518517,121.0,0.7469135802469136,CA,1
UA,1946,2025-08-15,ORD,LGA,2025-08-15 15:00:00+00:00,2025-08-15T18:20:00Z,2025-08-15 14:59:00+00:00,2025-08-15T18:15:00Z,166,B737-MAX8,Mainline,105,114,51,196,2,10,1,40,14.0,1.0,46.0,11.0,-1.0,54,1.180722891566265,0.07142857142857142,0.061224489795918366,0.20408163265306123,57.0,0.29081632653061223,US,0
OO,5292,2025-08-02,ORD,MTY,2025-08-02 08:45:00+00:00,2025-08-02T11:41:00Z,2025-08-02 08:41:00+00:00,2025-08-02T11:46:00Z,76,ERJ-175,Express,756,749,42,87,0,4,0,8,2.0,4.0,47.0,8.0,-4.0,714,1.144736842105263,0.022988505747126436,0.04597701149425287,0.09195402298850575,55.0,0.632183908045977,MX,1
UA,845,2025-08-12,ORD,GRU,2025-08-12 21:20:00+00:00,2025-08-13T09:30:00Z,2025-08-12 23:15:00+00:00,2025-08-13T11:30:00Z,318,B787-10,Mainline,300,379,155,260,1,11,5,2,50.0,28.0,72.0,216.0,115.0,145,0.8176100628930818,0.19230769230769232,0.046153846153846156,0.007692307692307693,288.0,1.1076923076923078,BR,1
YX,3525,2025-08-13,ORD,YYZ,2025-08-13 16:43:00+00:00,2025-08-13T19:37:00Z,2025-08-13 16:41:00+00:00,2025-08-13T19:31:00Z,76,ERJ-175,Express,58,78,42,90,0,5,1,4,1.0,4.0,21.0,22.0,-2.0,16,1.1842105263157894,0.011111111111111112,0.05555555555555555,0.044444444444444446,43.0,0.4777777777777778,CA,1
UA,2677,2025-08-06,ORD,IAD,2025-08-06 17:56:00+00:00,2025-08-06T20:55:00Z,2025-08-06 21:10:00+00:00,2025-08-07T00:23:00Z,176,B757-200,Mainline,231,412,122,160,0,4,0,8,4.0,7.0,38.0,31.0,194.0,109,0.9090909090909091,0.025,0.025,0.05,69.0,0.43125,US,0
UA,767,2025-08-13,ORD,DEN,2025-08-13 21:32:00+00:00,2025-08-13T23:22:00Z,2025-08-13 22:10:00+00:00,2025-08-13T23:42:00Z,200,A321-2NX,Mainline,22,64,62,202,0,5,0,13,4.0,0.0,24.0,55.0,38.0,-40,1.01,0.019801980198019802,0.024752475247524754,0.06435643564356436,79.0,0.3910891089108911,US,0
OO,5026,2025-08-13,ORD,JST,2025-08-13 21:05:00+00:00,2025-08-13T23:55:00Z,2025-08-13 21:18:00+00:00,2025-08-14T00:08:00Z,50,CRJ-200,Express,40,69,29,53,1,3,1,5,8.0,12.0,13.0,11.0,13.0,11,1.06,0.1509433962264151,0.07547169811320754,0.09433962264150944,24.0,0.4528301886792453,US,0
OO,5493,2025-08-05,ORD,ATW,2025-08-05 11:05:00+00:00,2025-08-05T12:18:00Z,2025-08-05 11:01:00+00:00,2025-08-05T12:08:00Z,50,CRJ-200,Express,106,116,29,53,1,1,0,3,0.0,1.0,25.0,27.0,-4.0,77,1.06,0.0,0.03773584905660377,0.05660377358490566,52.0,0.9811320754716981,US,0
G7,4519,2025-08-06,ORD,SCE,2025-08-06 18:20:00+00:00,2025-08-06T21:24:00Z,2025-08-06 18:08:00+00:00,2025-08-06T21:04:00Z,50,CRJ-550,Express,70,62,29,43,0,1,0,1,0.0,0.0,3.0,12.0,-12.0,41,0.86,0.0,0.023255813953488372,0.023255813953488372,15.0,0.3488372093023256,US,0
OO,4791,2025-08-04,ORD,SBN,2025-08-04 10:35:00+00:00,2025-08-04T12:33:00Z,2025-08-04 10:30:00+00:00,2025-08-04T12:20:00Z,50,CRJ-550,Express,56,60,29,45,0,0,0,1,0.0,10.0,1.0,13.0,-5.0,27,0.9,0.0,0.0,0.022222222222222223,14.0,0.3111111111111111,US,0
UA,592,2025-08-03,ORD,JAC,2025-08-03 16:50:00+00:00,2025-08-03T19:05:00Z,2025-08-03 16:59:00+00:00,2025-08-03T18:57:00Z,126,B737-700,Mainline,57,89,43,161,2,9,0,4,2.0,7.0,41.0,64.0,9.0,14,1.2777777777777777,0.012422360248447204,0.06832298136645963,0.024844720496894408,105.0,0.6521739130434783,US,0
G7,4590,2025-08-01,ORD,MDT,2025-08-01 16:45:00+00:00,2025-08-01T19:52:00Z,2025-08-01 16:36:00+00:00,2025-08-01T19:23:00Z,50,CRJ-550,Express,42,43,29,55,0,2,0,4,2.0,3.0,4.0,19.0,-9.0,13,1.1,0.03636363636363636,0.03636363636363636,0.07272727272727272,23.0,0.41818181818181815,US,0
YX,3464,2025-08-13,ORD,PIT,2025-08-13 21:15:00+00:00,2025-08-13T23:58:00Z,2025-08-13 21:30:00+00:00,2025-08-13T23:51:00Z,76,ERJ-175,Express,142,48,39,76,0,1,0,6,0.0,10.0,10.0,26.0,15.0,103,1.0,0.0,0.013157894736842105,0.07894736842105263,36.0,0.47368421052631576,US,0
OO,5963,2025-08-14,ORD,BDL,2025-08-14 14:09:00+00:00,2025-08-14T17:36:00Z,2025-08-14 14:22:00+00:00,2025-08-14T17:59:00Z,70,ERJ-175,Express,59,74,34,74,1,1,0,3,17.0,4.0,18.0,24.0,13.0,25,1.0571428571428572,0.22972972972972974,0.02702702702702703,0.04054054054054054,42.0,0.5675675675675675,US,0
OO,5447,2025-08-10,ORD,PVD,2025-08-10 11:05:00+00:00,2025-08-10T14:39:00Z,2025-08-10 10:59:00+00:00,2025-08-10T14:42:00Z,70,ERJ-175,Express,71,33,34,67,0,4,1,0,0.0,0.0,15.0,31.0,-6.0,37,0.9571428571428572,0.0,0.05970149253731343,0.0,46.0,0.6865671641791045,US,0
